,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
858,CA,Dillon Wind LLC,33.9393,-116.5527,0,0,0,0,0,0,146670,0,0,0
859,CA,Dinosaur Point,37.0478,-121.1708,0,0,0,0,0,0,9474,0,0,0
860,CA,Dinuba Energy,36.571485,-119.419176,0,0,0,0,0,0,0,0,0,0
861,CA,Dinuba Wastewater Treatment Plant,36.538056,-119.426388,0,0,0,0,0,0,0,1812,0,0
862,CA,Dion R Holm,37.896649,-119.9675,0,0,0,0,248059,0,0,0,0,0
863,CA,Disney Prospect,34.083387,-118.43378,0,0,0,0,0,0,0,0,0,0
864,CA,Division,32.681667,-117.120277,,,,,,,,,,
865,CA,Division 1,34.708333,-118.130556,0,0,0,0,0,0,0,2764,0,0
866,CA,Division 2,34.708333,-118.130556,0,0,0,0,0,0,0,1947,0,0
867,CA,Division 3,34.708333,-118.130556,0,0,0,0,0,0,0,2063,0,0
868,CA,Dome Project,35.220833,-119.583056,0,0,37921,0,0,0,0,0,0,0
869,CA,Dominguez Plant,33.8431,-118.2347,0,0,0,0,0,0,0,0,0,12289
870,CA,Don Lee BESS 1 LLC,33.128685,-117.12118,,,,,,,,,,
871,CA,Don Pedro,37.695994,-120.420152,0,0,0,0,293638,0,0,0,0,0
872,CA,Donald Von Raesfeld,37.3767,-121.9508,0,0,861341,0,0,0,0,0,0,0
873,CA,Donnells,38.246656,-120.034072,0,0,0,0,129198,0,0,0,0,0
874,CA,Double C Generation Limited Partnership,35.5005,-119.046,0,0,26465,0,0,0,0,0,0,0
875,CA,Drews Generating Facility,34.0609,-117.3532,0,0,777,0,0,0,0,0,0,0
876,CA,Drop 1,32.711611,-114.942666,0,0,0,0,1664,0,0,0,0,0
877,CA,Drop 2 (CA),32.705435,-115.030975,0,0,0,0,43434,0,0,0,0,0
878,CA,Drop 3 (CA),32.705428,-115.126103,0,0,0,0,41904,0,0,0,0,0
